
Cidade: 77810, Zona: 0013, Seção: 0065
,Candidato,Votacao
0,15 ANTONIO POLATO,83
1,55 ELIAS GOMES DA COSTA,194
2,Eleitores Aptos,326
3,Votos nominais,277
4,Votos de legenda,0
5,Votos em branco,8
6,Votos Nulos,3
7,Total Apurado,288

Cidade: 77810, Zona: 0013, Seção: 0066
,Candidato,Votacao
0,15 ANTONIO POLATO,87
1,55 ELIAS GOMES DA COSTA,188
2,Eleitores Aptos,326
3,Votos nominais,275
4,Votos de legenda,0
5,Votos em branco,8
6,Votos Nulos,9
7,Total Apurado,292

Cidade: 77810, Zona: 0013, Seção: 0067
,Candidato,Votacao
0,15 ANTONIO POLATO,83
1,55 ELIAS GOMES DA COSTA,191
2,Eleitores Aptos,326
3,Votos nominais,274
4,Votos de legenda,0
5,Votos em branco,5
6,Votos Nulos,4
7,Total Apurado,283

Cidade: 77810, Zona: 0013, Seção: 0068
,Candidato,Votacao
0,15 ANTONIO POLATO,75
1,55 ELIAS GOMES DA COSTA,166
2,Eleitores Aptos,303
3,Votos nominais,241
4,Votos de legenda,0
5,Votos em branco,3
6,Votos Nulos,9
7,Total Apurado,253

Cidade: 77810, Zona: 0013, Seção: 0069
,Candidato,Votacao
0,15 ANTONIO POLATO,71
1,55 ELIAS GOMES DA COSTA,181
2,Eleitores Aptos,305
3,Votos nominais,252
4,Votos de legenda,0
5,Votos em branco,1
6,Votos Nulos,5
7,Total Apurado,258

Cidade: 77810, Zona: 0013, Seção: 0070
,Candidato,Votacao
0,15 ANTONIO POLATO,77
1,55 ELIAS GOMES DA COSTA,171
2,Eleitores Aptos,305
3,Votos nominais,248
4,Votos de legenda,0
5,Votos em branco,0
6,Votos Nulos,6
7,Total Apurado,254

Cidade: 77810, Zona: 0013, Seção: 0071
,Candidato,Votacao
0,15 ANTONIO POLATO,91
1,55 ELIAS GOMES DA COSTA,157
2,Eleitores Aptos,306
3,Votos nominais,248
4,Votos de legenda,0
5,Votos em branco,3
6,Votos Nulos,5
7,Total Apurado,256

Cidade: 77810, Zona: 0013, Seção: 0074
,Candidato,Votacao
0,15 ANTONIO POLATO,83
1,55 ELIAS GOMES DA COSTA,177
2,Eleitores Aptos,304
3,Votos nominais,260
4,Votos de legenda,0
5,Votos em branco,5
6,Votos Nulos,5
7,Total Apurado,270

Cidade: 77810, Zona: 0013, Seção: 0075
,Candidato,Votacao
0,15 ANTONIO POLATO,76
1,55 ELIAS GOMES DA COSTA,190
2,Eleitores Aptos,323
3,Votos nominais,266
4,Votos de legenda,0
5,Votos em branco,9
6,Votos Nulos,5
7,Total Apurado,280

Cidade: 77810, Zona: 0013, Seção: 0079
,Candidato,Votacao
0,15 ANTONIO POLATO,95
1,55 ELIAS GOMES DA COSTA,173
2,Eleitores Aptos,335
3,Votos nominais,268
4,Votos de legenda,0
5,Votos em branco,6
6,Votos Nulos,8
7,Total Apurado,282

Cidade: 77810, Zona: 0013, Seção: 0089
,Candidato,Votacao
0,15 ANTONIO POLATO,118
1,55 ELIAS GOMES DA COSTA,189
2,Eleitores Aptos,369
3,Votos nominais,307
4,Votos de legenda,0
5,Votos em branco,4
6,Votos Nulos,2
7,Total Apurado,313

Cidade: 77810, Zona: 0013, Seção: 0097
,Candidato,Votacao
0,15 ANTONIO POLATO,88
1,55 ELIAS GOMES DA COSTA,184
2,Eleitores Aptos,331
3,Votos nominais,272
4,Votos de legenda,0
5,Votos em branco,7
6,Votos Nulos,4
7,Total Apurado,283

Cidade: 77810, Zona: 0013, Seção: 0111
,Candidato,Votacao
0,15 ANTONIO POLATO,40
1,55 ELIAS GOMES DA COSTA,48
2,Eleitores Aptos,98
3,Votos nominais,88
4,Votos de legenda,0
5,Votos em branco,3
6,Votos Nulos,2
7,Total Apurado,93
