
Cidade: 78859, Zona: 0008, Seção: 0021
,Candidato,Votacao
0,13 WILSON CABELO,5
1,44 GERALDO MENDES,106
2,55 NINA SINGER,152
3,Eleitores Aptos,392
4,Votos nominais,263
5,Votos de legenda,0
6,Votos em branco,13
7,Votos Nulos,13
8,Total Apurado,289

Cidade: 78859, Zona: 0008, Seção: 0022
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,57
2,55 NINA SINGER,128
3,Eleitores Aptos,320
4,Votos nominais,196
5,Votos de legenda,0
6,Votos em branco,5
7,Votos Nulos,25
8,Total Apurado,226

Cidade: 78859, Zona: 0008, Seção: 0023
,Candidato,Votacao
0,13 WILSON CABELO,15
1,44 GERALDO MENDES,63
2,55 NINA SINGER,137
3,Eleitores Aptos,318
4,Votos nominais,215
5,Votos de legenda,0
6,Votos em branco,15
7,Votos Nulos,11
8,Total Apurado,241

Cidade: 78859, Zona: 0008, Seção: 0024
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,92
2,55 NINA SINGER,124
3,Eleitores Aptos,318
4,Votos nominais,229
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,16
8,Total Apurado,252

Cidade: 78859, Zona: 0008, Seção: 0028
,Candidato,Votacao
0,13 WILSON CABELO,6
1,44 GERALDO MENDES,79
2,55 NINA SINGER,126
3,Eleitores Aptos,376
4,Votos nominais,211
5,Votos de legenda,0
6,Votos em branco,16
7,Votos Nulos,10
8,Total Apurado,237

Cidade: 78859, Zona: 0008, Seção: 0029
,Candidato,Votacao
0,13 WILSON CABELO,17
1,44 GERALDO MENDES,91
2,55 NINA SINGER,134
3,Eleitores Aptos,372
4,Votos nominais,242
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,11
8,Total Apurado,264

Cidade: 78859, Zona: 0008, Seção: 0030
,Candidato,Votacao
0,13 WILSON CABELO,15
1,44 GERALDO MENDES,90
2,55 NINA SINGER,139
3,Eleitores Aptos,368
4,Votos nominais,244
5,Votos de legenda,0
6,Votos em branco,10
7,Votos Nulos,10
8,Total Apurado,264

Cidade: 78859, Zona: 0008, Seção: 0031
,Candidato,Votacao
0,13 WILSON CABELO,19
1,44 GERALDO MENDES,81
2,55 NINA SINGER,132
3,Eleitores Aptos,373
4,Votos nominais,232
5,Votos de legenda,0
6,Votos em branco,13
7,Votos Nulos,18
8,Total Apurado,263

Cidade: 78859, Zona: 0008, Seção: 0038
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,114
2,55 NINA SINGER,146
3,Eleitores Aptos,404
4,Votos nominais,268
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,20
8,Total Apurado,300

Cidade: 78859, Zona: 0008, Seção: 0039
,Candidato,Votacao
0,Não há votos nominais,1
1,13 WILSON CABELO,8
2,44 GERALDO MENDES,97
3,55 NINA SINGER,132
4,Eleitores Aptos,343
5,Votos nominais,237
6,Votos de legenda,0
7,Votos em branco,10
8,Votos Nulos,10
9,Total Apurado,257

Cidade: 78859, Zona: 0008, Seção: 0040
,Candidato,Votacao
