,Bairro,Candidato,Votos
0,AFONSO PENA,Não há votos nominais,4
1,AFONSO PENA,13 WILSON CABELO,318
2,AFONSO PENA,44 GERALDO MENDES,3158
3,AFONSO PENA,55 NINA SINGER,4319
4,AFONSO PENA,Eleitores Aptos,12034
5,AFONSO PENA,Votos nominais,7795
6,AFONSO PENA,Votos de legenda,0
7,AFONSO PENA,Votos em branco,447
8,AFONSO PENA,Votos Nulos,520
9,AFONSO PENA,Total Apurado,8762
10,AGARAÚ,13 WILSON CABELO,10
11,AGARAÚ,44 GERALDO MENDES,150
12,AGARAÚ,55 NINA SINGER,390
13,AGARAÚ,Eleitores Aptos,838
14,AGARAÚ,Votos nominais,550
15,AGARAÚ,Votos de legenda,0
16,AGARAÚ,Votos em branco,69
17,AGARAÚ,Votos Nulos,41
18,AGARAÚ,Total Apurado,660
19,AVIAÇÃO,13 WILSON CABELO,245
20,AVIAÇÃO,44 GERALDO MENDES,2158
21,AVIAÇÃO,55 NINA SINGER,3237
22,AVIAÇÃO,Eleitores Aptos,8478
23,AVIAÇÃO,Votos nominais,5640
24,AVIAÇÃO,Votos de legenda,0
25,AVIAÇÃO,Votos em branco,315
26,AVIAÇÃO,Votos Nulos,404
27,AVIAÇÃO,Total Apurado,6359
28,BARRO PRETO,13 WILSON CABELO,74
29,BARRO PRETO,44 GERALDO MENDES,801
30,BARRO PRETO,55 NINA SINGER,1058
31,BARRO PRETO,Eleitores Aptos,2893
32,BARRO PRETO,Votos nominais,1933
33,BARRO PRETO,Votos de legenda,0
34,BARRO PRETO,Votos em branco,103
35,BARRO PRETO,Votos Nulos,137
36,BARRO PRETO,Total Apurado,2173
37,BONECA DO IGUAÇÚ,13 WILSON CABELO,99
38,BONECA DO IGUAÇÚ,44 GERALDO MENDES,879
39,BONECA DO IGUAÇÚ,55 NINA SINGER,1232
40,BONECA DO IGUAÇÚ,Eleitores Aptos,3301
41,BONECA DO IGUAÇÚ,Votos nominais,2210
42,BONECA DO IGUAÇÚ,Votos de legenda,0
43,BONECA DO IGUAÇÚ,Votos em branco,131
44,BONECA DO IGUAÇÚ,Votos Nulos,146
45,BONECA DO IGUAÇÚ,Total Apurado,2487
46,BORDA DO CAMPO,13 WILSON CABELO,290
47,BORDA DO CAMPO,44 GERALDO MENDES,5041
48,BORDA DO CAMPO,55 NINA SINGER,3636
49,BORDA DO CAMPO,Eleitores Aptos,14167
50,BORDA DO CAMPO,Votos nominais,8967
51,BORDA DO CAMPO,Votos de legenda,0
52,BORDA DO CAMPO,Votos em branco,538
53,BORDA DO CAMPO,Votos Nulos,515
54,BORDA DO CAMPO,Total Apurado,10020
